n_index,previous_index_num,movie_title_txt_num,imdb_id,n_of_posters,total_box_office,with_adjusted_box_office,total_label,year,movie_title,year_box_office_label,Rnum_year_box_office_label,groups_num,train_or_test,budget
7939,3692,3783,tt0119256,14,142356,278196,0,1997,Hard Eight,2,R2,6,train,0
7938,3786,3879,tt0110405,1,147651,288538,0,1997,Paperback Romance,2,R2,5,train,0
7937,3644,3734,tt0116565,2,152720,298450,0,1997,Hotel de Love,2,R2,4,train,0
7936,3612,3700,tt0122436,1,160944,314524,0,1997,Conciergerie La,2,R2,3,train,0
7935,3605,3693,tt0119052,5,161831,309510,0,1997,Education of Little Tree The,2,R2,2,train,0
7934,3583,3668,tt0114303,9,171979,336088,0,1997,Rough Magic,2,R2,1,train,0
7933,3567,3652,tt0119809,7,176979,345856,0,1997,Nowhere,2,R2,0,train,0
6957,3566,3651,tt0116714,3,177605,347076,0,1997,Johns,3,R3,18,test,0
6956,3911,4013,tt0124777,3,189022,365545,0,1997,Latin Boys Go to Hell,3,R3,17,test,0
6955,3524,3608,tt0116650,3,191164,373574,0,1997,Irma Vep,3,R3,16,test,0
6954,3510,3593,tt0119533,1,197338,385647,0,1997,Life Apart A,3,R3,15,test,0
6953,6024,6321,tt0118540,3,218444,426891,0,1997,4 Little Girls,3,R3,14,train,0
6952,3433,3510,tt0127497,1,223426,436624,0,1997,Dancehall Queen,3,R3,13,train,0
6951,3423,3499,tt0117106,1,226427,442490,0,1997,Disappearance of Garcia Lorca The,3,R3,12,train,0
6950,3394,3470,tt0120254,10,235766,460744,0,1997,Swan Princess The Escape from Castle Mountain,3,R3,11,train,0
6949,3379,3455,tt0118845,9,240442,467669,0,1997,Happy Together,3,R3,10,train,0
6948,3371,3447,tt0120539,5,243094,475060,0,1997,Year of the Horse,3,R3,9,train,0
6947,3368,3444,tt0113314,1,244337,477491,0,1997,Hollow Reed,3,R3,8,train,0
6946,3288,3358,tt0118586,4,281175,549484,0,1997,All Over Me,3,R3,7,train,0
6945,3287,3357,tt0116102,1,281764,550632,0,1997,Different for Girls,3,R3,6,train,0
6944,3271,3341,tt0120303,7,291000,568680,0,1997,Telling Lies in America,3,R3,5,train,0
6943,3248,3317,tt0118044,4,301888,589957,0,1997,Unhook the Stars,3,R3,4,train,0
6942,3207,3275,tt0118015,3,316872,606040,0,1997,Un Air de Famille,3,R3,3,train,0
6941,3218,3286,tt0120265,12,322827,607432,0,1997,Ta m e guilass ,3,R3,2,train,0
6940,3163,3231,tt0113223,2,340556,665529,0,1997,Grizzly Mountain,3,R3,1,train,0
6939,3962,4067,tt0119237,5,365375,448779,0,1997,Gummo,3,R3,0,train,0
5963,3092,3159,tt0119062,10,386673,755651,0,1997,End of Violence The,4,R4,18,test,0
5962,3118,3186,tt2237324,3,405409,790885,0,1997,Bent,4,R4,17,test,0
5961,3068,3133,tt0120357,4,408097,797523,0,1997,Touch,4,R4,16,test,0
5960,3165,3233,tt0120490,6,429756,828397,0,1997,Welcome to Sarajevo,4,R4,15,test,0
5959,2997,3059,tt0116783,5,465417,909540,0,1997,Kissed,4,R4,14,train,0
5958,2979,3041,tt0120087,4,479099,936271,0,1997,Second Jungle Book The,4,R4,13,train,0
5957,2978,3040,tt0118762,1,479504,937069,0,1997,Boys Life 2,4,R4,12,train,0
5956,2961,3020,tt0120366,5,500649,978385,0,1997,Traveller,4,R4,11,train,0
5955,2964,3024,tt0116308,5,501533,975990,0,1997,Fire,4,R4,10,train,0
5954,2955,3014,tt0119746,3,505828,988512,0,1997,Myth of Fingerprints The,4,R4,9,train,0
5953,2950,3009,tt0119392,1,510977,998567,0,1997,Jen Suis,4,R4,8,train,0
5952,2943,3002,tt0113774,4,524963,1025908,0,1997,Margarets Museum,4,R4,7,train,0
5951,2889,2945,tt0120197,1,592573,1158027,0,1997,Star Maps,4,R4,6,train,0
5950,2903,2960,tt0116930,3,604523,1181385,0,1997,Love Serenade,4,R4,5,train,0
5949,2874,2930,tt0119324,3,617403,1206555,0,1997,House of Yes The,4,R4,4,train,0
5948,2819,2873,tt0117050,2,686121,1340845,0,1997,Shekvarebuli kulinaris ataserti retsepti,4,R4,3,train,0
5947,2811,2865,tt0119527,6,699062,1337005,0,1997,Deceiver,4,R4,2,train,0
5946,2794,2848,tt0115738,2,720717,1408451,0,1997,Box of Moon Light,4,R4,1,train,0
5945,2792,2846,tt0120238,5,726207,1419189,0,1997,SubUrbia,4,R4,0,train,0
4969,2761,2813,tt0119467,2,771091,1506897,0,1997,Kiss or Kill,5,R5,18,test,0
4968,2754,2806,tt0093744,5,779200,1510198,0,1997,Pippi Longstocking,5,R5,17,test,0
4967,2749,2801,tt0116754,3,790078,1544006,0,1997,Prisoner of the Mountains,5,R5,16,test,0
4966,2747,2799,tt0128376,1,793112,1549935,0,1997,Nueba Yol 3,5,R5,15,test,0
4965,4504,4648,tt0116502,14,806649,837379,0,1997,Head Above Water,5,R5,14,train,0
4964,2721,2773,tt0115886,6,845391,1652104,0,1997,Children of the Revolution,5,R5,13,train,0
4963,2719,2771,tt0119107,2,848801,1655082,0,1997,Fast Cheap and Out of Control,5,R5,12,train,0
4962,2714,2766,tt0109949,3,855579,1667667,0,1997,Guantanamera,5,R5,11,train,0
4961,2708,2760,tt0120521,2,870290,1672053,0,1997,Winter Guest The,5,R5,10,train,0
4960,2695,2747,tt0116293,9,883973,1727496,0,1997,Female Perversions,5,R5,9,train,0
4959,2670,2721,tt0125128,2,925756,1786672,0,1997,Hanging Garden The,5,R5,8,train,0
4958,2648,2698,tt0120118,3,1002175,1958492,0,1997,Shiloh,5,R5,7,train,0
4957,2589,2636,tt0116295,4,1084532,2119441,0,1997,Temptress Moon,5,R5,6,train,0
4956,2502,2545,tt0117359,2,1351319,2640813,0,1997,Ponette,5,R5,5,train,0
4955,2466,2508,tt0118859,4,1554338,3037556,0,1997,City of Industry,5,R5,4,train,0
4954,2459,2501,tt0120014,3,1591687,3110545,0,1997,Rhyme and Reason,5,R5,3,train,0
4953,2410,2451,tt0120481,4,1775644,3466214,0,1997,Washington Square,5,R5,2,train,0
4952,2386,2426,tt0119465,2,1916898,3746087,0,1997,Kiss Me Guido,5,R5,1,train,0
4951,2376,2416,tt0119859,5,1990257,3889455,0,1997,Paradise Road,5,R5,0,train,0
3975,2342,2382,tt0116041,3,2096256,4096599,0,1997,Daytrippers The,6,R6,18,test,0
3974,2309,2349,tt0119590,6,2280573,4371969,0,1997,Ma Vie en Rose,6,R6,17,test,0
3973,2305,2345,tt0126036,1,2287639,4470612,0,1997,Snowriders 2,6,R6,16,test,0
3972,2296,2334,tt0114134,5,2372744,4636925,0,1997,Pillow Book The,6,R6,15,test,0
3971,2281,2318,tt0118818,3,2506039,4897414,0,1997,Career Girls,6,R6,14,train,0
3970,5993,6289,tt0118566,5,2537428,4859094,0,1997,Afterglow,6,R6,13,train,0
3969,2273,2310,tt0115744,14,2589188,5059914,0,1997,Brassed Off,6,R6,12,train,0
3968,2267,2304,tt0119832,7,2642718,5164522,0,1997,One Night Stand,6,R6,11,train,0
3967,2243,2280,tt0119620,2,2835851,5054900,0,1997,Marius et Jeannette,6,R6,10,train,0
3966,2230,2267,tt0119578,3,2936611,5738862,0,1997,Love Valour Compassion,6,R6,9,train,0
3965,2179,2216,tt0120151,1,3317930,6484054,0,1997,Smile Like Yours A,6,R6,8,train,0
3964,2172,2209,tt7594568,1,3398083,6640697,0,1997,Matchmaker The,6,R6,7,train,0
3963,2161,2198,tt0119152,11,3519178,6877344,0,1997,Free Willy 3 The Rescue,6,R6,6,train,0
3962,2160,2197,tt0118523,7,3525125,6888969,0,1997,Til There Was You,6,R6,5,train,0
3961,2157,2194,tt0119887,6,3533790,6905895,0,1997,Pest The,6,R6,4,train,0
3960,2129,2166,tt0116922,32,3816306,7439295,0,1997,Lost Highway,6,R6,3,train,0
3959,2103,2140,tt0119644,2,4073582,7960785,0,1997,Meet Wally Sparks,6,R6,2,train,0
3958,2628,2678,tt0120275,4,4194038,5141754,0,1997,Tango Lesson The,6,R6,1,train,0
3957,2094,2131,tt0119906,12,4428527,8404799,0,1997,Playing God,6,R6,0,train,0
2981,2044,2081,tt0118764,1,4602341,8879493,0,1997,Les Boys,7,R7,18,test,0
2980,2004,2041,tt0118927,2,5102151,9970864,0,1997,Dangerous Ground,7,R7,17,test,0
2979,1974,2011,tt0119225,6,5573929,10892836,0,1997,Gridlockd,7,R7,16,test,0
2978,1962,1999,tt0118531,17,5747802,11232629,0,1997,One Eight Seven,7,R7,15,test,0
2977,1958,1995,tt0116790,8,5770254,11276501,0,1997,Kolya,7,R7,14,train,0
2976,1949,1986,tt0118760,12,5896037,11286063,0,1997,Boxer The,7,R7,13,train,0
2975,1948,1985,tt0118900,10,5906773,11543296,0,1997,Gang Related,7,R7,12,train,0
2974,1947,1984,tt0119381,11,5926128,11581122,0,1997,Inventing the Abbotts,7,R7,11,train,0
2973,1935,1971,tt0119484,9,6086891,11895296,0,1997,Kull The Conqueror,7,R7,10,train,0
2972,1894,1930,tt0120399,35,6690074,13072187,0,1997,U Turn,7,R7,9,train,0
2971,1856,1889,tt0118663,3,7246735,14161917,0,1997,BAPS,7,R7,8,train,0
2970,1853,1886,tt0120112,6,7281450,14229757,0,1997,Shes So Lovely,7,R7,7,train,0
2969,1849,1882,tt0120512,4,7365417,14393854,0,1997,Wild America,7,R7,6,train,0
2968,1838,1871,tt0120190,1,7553105,14760637,0,1997,Sprung,7,R7,5,train,0
2967,1794,1826,tt0120389,6,8363899,16345134,0,1997,Turbo A Power Rangers Movie,7,R7,4,train,0
2966,1758,1790,tt0119280,8,9217930,17982186,0,1997,Mrs Brown,7,R7,3,train,0
2965,1756,1788,tt0119115,16,9254184,18084973,0,1997,Fierce Creatures,7,R7,2,train,0
2964,1820,1852,tt0120323,6,9497079,17062745,0,1997,Thousand Acres A,7,R7,1,train,0
2963,1736,1766,tt0119783,11,9889670,19326870,0,1997,Night Falls On Manhattan,7,R7,0,train,0
1987,1695,1722,tt0099558,17,10461161,20443706,0,1997,Operation Condor,8,R8,18,test,0
1986,1658,1682,tt0119509,2,11307615,22097882,0,1997,Leave It To Beaver,8,R8,17,test,0
1985,1657,1681,tt0119013,29,11328565,22138821,0,1997,Double Team,8,R8,16,test,0
1984,1651,1675,tt0118691,10,11486880,22448214,0,1997,Beautician and the Beast The,8,R8,15,test,0
1983,1570,1593,tt0120036,2,13104494,25609431,0,1997,Rosewood,8,R8,14,train,0
1982,1543,1566,tt0120373,4,13602831,26583304,0,1997,Trial And Error,8,R8,13,train,0
1981,1536,1559,tt0120520,6,13718385,26599943,0,1997,Wings of the Dove The,8,R8,12,train,0
1980,1519,1542,tt0119095,5,14059077,27473065,0,1997,Fairytale A True Story,8,R8,11,train,0
1979,1505,1528,tt0119086,6,14351432,28046257,0,1997,Excess Baggage,8,R8,10,train,0
1978,1493,1515,tt0116704,15,14601662,28535265,0,1997,Jackie Chans First Strike,8,R8,9,train,0
1977,2080,2117,tt0119535,15,14633270,18724696,0,1997,Life Less Ordinary A,8,R8,8,train,0
1976,1488,1510,tt2394045,1,14765099,28854669,0,1997,Sixth Man The,8,R8,7,train,0
1975,1463,1485,tt0120029,13,15448043,30189306,0,1997,Rocket Man,8,R8,6,train,0
1974,1432,1453,tt0119123,15,16148906,31558972,0,1997,Fire Down Below,8,R8,5,train,0
1973,1423,1444,tt0120318,8,17239218,32897035,0,1997,That Old Feeling,8,R8,4,train,0
1972,1353,1372,tt0059793,8,18301828,35766314,0,1997,That Darn Cat ,8,R8,3,train,0
1971,1306,1323,tt0119214,12,19745922,38588429,0,1997,Gone Fishin,8,R8,2,train,0
1970,1296,1313,tt0118750,5,20066917,39215737,1,1997,Booty Call,8,R8,1,train,0
1969,1244,1260,tt0119994,10,22442815,43852473,1,1997,Red Corner,8,R8,0,train,0
993,1208,1224,tt0119311,5,23489997,45905285,1,1997,Hoodlum,9,R9,18,test,0
992,1203,1219,tt0119215,8,23712993,46341074,1,1997,Good Burger,9,R9,17,test,0
991,1164,1179,tt0119675,21,25514166,49861010,1,1997,Mimic,9,R9,16,test,0
990,1152,1167,tt0119731,17,25842024,50501728,1,1997,Murder at 1600,9,R9,15,test,0
989,1135,1149,tt0118604,12,26570463,51655880,1,1997,American Werewolf in Paris An,9,R9,14,train,0
988,1268,1285,tt0119718,8,28937192,49153343,1,1997,Mr Magoo,9,R9,13,train,0
987,1084,1097,tt0119848,8,28985323,56644518,1,1997,Out to Sea,9,R9,12,train,0
986,1081,1094,tt0120032,13,29235353,57133132,1,1997,Romy and Micheles High School Reunion,9,R9,11,train,0
985,1080,1093,tt0119141,18,29299524,57258542,1,1997,Fools Rush In,9,R9,10,train,0
984,1337,1356,tt0120327,1,31279211,46861633,1,1997,Thrill Ride The Science of Fun,9,R9,9,train,0
983,1037,1048,tt0119896,16,31301775,61171435,1,1997,Picture Perfect,9,R9,8,train,0
982,1023,1034,tt0119142,14,31680796,61613898,1,1997,For Richer or Poorer,9,R9,7,train,0
981,1012,1023,tt0119664,15,32017895,62570917,1,1997,Metro,9,R9,6,train,0
980,1108,1122,tt0119051,27,34099255,60626644,1,1997,Edge The,9,R9,5,train,0
979,5950,6242,tt0118556,12,34673095,67759837,1,1997,Addicted To Love,9,R9,4,train,0
978,910,921,tt0120434,17,36470465,71272346,1,1997,Vegas Vacation,9,R9,3,train,0
977,1040,1051,tt0118708,19,37639029,67454843,1,1997,Beverly Hills Ninja,9,R9,2,train,0
976,808,817,tt0119951,6,41198146,80511401,2,1997,Private Parts,9,R9,1,train,0
975,565,571,tt0119432,11,59925026,117108382,2,1997,Jungle 2 Jungle,9,R9,0,train,0
10018,5487,5729,tt0146664,2,1742,2897,0,1998,Day Silence Died The,0,R0,21,test,0
10017,5476,5717,tt0124901,17,1971,3767,0,1998,Thursday,0,R0,20,test,0
10016,5463,5703,tt0122710,1,2194,4189,0,1998,Shopping for Fangs,0,R0,19,test,0
10015,5462,5702,tt0040724,24,2197,4198,0,1998,River Red,0,R0,18,test,0
10014,5440,5677,tt0162050,1,2442,3866,0,1998,Yom Yom,0,R0,17,test,0
10013,5421,5655,tt0116833,4,2647,5059,0,1998,Last of the High Kings The,0,R0,16,train,0
10012,5399,5631,tt0120219,1,3073,5875,0,1998,Storefront Hitchcock,0,R0,15,train,0
10011,5382,5613,tt0116538,3,3348,6396,0,1998,Hit Me,0,R0,14,train,0
10010,5381,5612,tt0169156,1,3350,5570,0,1998,Quarry The,0,R0,13,train,0
10009,5372,5601,tt0119547,7,3526,6736,0,1998,Little Boy Blue,0,R0,12,train,0
10008,5364,5591,tt0113184,2,3657,6988,0,1998,Go Now,0,R0,11,train,0
10007,5320,5538,tt0185101,3,4427,7364,0,1998,Pups,0,R0,10,train,0
10006,5292,5507,tt0119986,1,4960,9481,0,1998,Reach the Rock,0,R0,9,train,0
9997,5260,5472,tt0131110,2,5000,9562,0,1998,Vig,0,R0,0,train,0
9998,5261,5473,tt0119734,3,5000,9562,0,1998,Music From Another Room,0,R0,1,train,0
9999,5262,5474,tt0119272,3,5000,9562,0,1998,Heavens Burning,0,R0,2,train,0
10000,5272,5486,tt0116845,2,5000,9562,0,1998,Leading Man The,0,R0,3,train,0
10001,5275,5489,tt0118727,1,5000,9562,0,1998,Love Walked In,0,R0,4,train,0
10002,5277,5491,tt0116141,1,5000,9562,0,1998,Dream for an Insomniac,0,R0,5,train,0
10003,5284,5499,tt0111416,1,5000,9562,0,1998,This is the Sea,0,R0,6,train,0
10004,5287,5502,tt0119278,2,5000,9562,0,1998,Chicago Cab,0,R0,7,train,0
10005,6083,6388,tt2497808,12,5000,9562,0,1998,Ambushed,0,R0,8,train,0
8926,5169,5369,tt0120162,1,7016,13410,0,1998,Somewhere in the City,1,R1,17,test,0
8925,5160,5359,tt0154421,27,7235,12038,0,1998,Idiots The,1,R1,16,test,0
8924,5155,5353,tt0144546,1,7394,14137,0,1998,Outside Ozona,1,R1,15,test,0
8923,5130,5328,tt0132213,1,7957,15213,0,1998,Hi Life,1,R1,14,test,0
8922,5096,5292,tt0039689,13,8688,16612,0,1998,Out of the Past,1,R1,13,train,0
8921,5053,5242,tt0997263,6,9615,18389,0,1998,Unmade Beds,1,R1,12,train,0
8920,5018,5205,tt0155667,1,10525,20129,0,1998,Didnt Do It For Love,1,R1,11,train,0
8919,4932,5110,tt0120070,4,12903,24676,0,1998,Savior,1,R1,10,train,0
8918,4922,5099,tt0120593,2,13354,22219,0,1998,Autumn Heart The,1,R1,9,train,0
8917,4919,5096,tt0188653,1,13544,21456,0,1998,Journey to the Sun,1,R1,8,train,0
8916,4862,5033,tt0119837,3,15093,28865,0,1998,Only Thrill The,1,R1,7,train,0
8915,4859,5030,tt0112922,17,15324,29305,0,1998,Day of the Beast The,1,R1,6,train,0
8914,4850,5021,tt0120271,1,15546,29727,0,1998,Talk of Angels,1,R1,5,train,0
8913,4848,5018,tt0196002,1,15645,26031,0,1998,Pop and Me,1,R1,4,train,0
8912,4811,4977,tt0116488,1,17012,32166,0,1998,Hard Core Logo,1,R1,3,train,0
8911,4743,4906,tt0111255,22,20021,33315,0,1998,Specialist The ,1,R1,2,train,0
8910,4736,4899,tt0144604,2,20167,38571,0,1998,Shadrach,1,R1,1,train,0
8909,4673,4832,tt0128648,1,22500,43029,0,1998,Summer of the Monkeys,1,R1,0,train,0
7932,4613,4768,tt0301050,2,26272,39073,0,1998,Bolivia,2,R2,17,test,0
7931,4494,4637,tt0118980,5,33000,63113,0,1998,Digging to China,2,R2,16,test,0
7930,4480,4622,tt0120220,2,33768,64575,0,1998,Rats Tale A,2,R2,15,test,0
7929,4470,4612,tt0120213,5,34488,65956,0,1998,Slappy and the Stinkers,2,R2,14,test,0
7928,4458,4599,tt0120491,4,35471,67840,0,1998,Welcome to Woop Woop,2,R2,13,train,0
7927,4436,4576,tt0183065,1,37200,61902,0,1998,Kestrels Eye,2,R2,12,train,0
7926,4434,4574,tt0117350,2,37260,71258,0,1998,Plump Fiction,2,R2,11,train,0
7925,4424,4564,tt0102556,2,37871,63023,0,1998,Not of this World,2,R2,10,train,0
7924,4368,4504,tt0144801,2,43506,83206,0,1998,Brandon Teena Story The,2,R2,9,train,0
7923,4327,4461,tt0119007,1,46470,88390,0,1998,East Palace West Palace,2,R2,8,train,0
7922,4286,4420,tt0124437,3,49166,87323,0,1998,Ogre The,2,R2,7,train,0
7921,4274,4407,tt0139564,2,49983,95593,0,1998,See the Sea,2,R2,6,train,0
7920,4207,4334,tt0118756,4,56158,107398,0,1998,Le Bossu,2,R2,5,train,0
7919,4200,4326,tt0139951,2,57009,89269,0,1998,Way We Laughed The,2,R2,4,train,0
7918,4171,4293,tt0127319,1,60523,100715,0,1998,Titanic Town,2,R2,3,train,0
7917,4156,4277,tt0111342,3,62626,119776,0,1998,Separation La,2,R2,2,train,0
7916,4105,4221,tt0118229,2,68955,131877,0,1998,Illtown,2,R2,1,train,0
7915,4103,4219,tt0081163,19,69225,123903,0,1998,Mirror The,2,R2,0,train,0
6938,4078,4194,tt0072315,2,71448,136649,0,1998,Truce The,3,R3,17,test,0
6937,4072,4188,tt0125994,2,71906,137519,0,1998,Emperors Shadow The,3,R3,16,test,0
6936,4071,4187,tt0120861,3,71999,134012,0,1998,Theory of Flight The,3,R3,15,test,0
6935,4021,4135,tt5157682,8,78677,121463,0,1998,Climb The,3,R3,14,test,0
6934,3997,4108,tt0138493,1,81570,129249,0,1998,Hit and Runway,3,R3,13,train,0
6933,3940,4045,tt0119784,9,91549,175094,0,1998,Night Flier The,3,R3,12,train,0
6932,3923,4028,tt0146990,1,94943,177830,0,1998,Like It Is,3,R3,11,train,0
6931,3881,3982,tt0143874,3,102523,193994,0,1998,Shattered Image,3,R3,10,train,0
6930,3853,3952,tt0119506,3,106292,203287,0,1998,Lawn Dogs,3,R3,9,train,0
6929,3841,3939,tt0119923,1,109596,209611,0,1998,Post Coitum Animal Triste,3,R3,8,train,0
6928,3821,3917,tt0058536,10,113484,217047,0,1998,Rudolph the Red Nosed Reindeer,3,R3,7,train,0
6927,3817,3913,tt0101635,12,113775,190675,0,1998,Sue,3,R3,6,train,0
6926,3713,3804,tt0139468,1,138425,264068,0,1998,Modulations,3,R3,5,train,0
6925,3667,3758,tt0120056,2,146437,280070,0,1998,Saltmen of Tibet The,3,R3,4,train,0
6924,3622,3712,tt0119952,2,157437,301105,0,1998,A Friend of Deceased,3,R3,3,train,0
6923,3596,3682,tt0120699,5,166082,297068,0,1998,Hi Lo Country The,3,R3,2,train,0
6922,3593,3678,tt0046126,27,168462,322193,0,1998,Niagara Niagara,3,R3,1,train,0
6921,3587,3672,tt0116692,4,171334,327683,0,1998,Jenseits der Stille,3,R3,0,train,0
5944,3555,3639,tt0125980,1,181083,346332,0,1998,Passion in the Desert,4,R4,17,test,0
5943,3473,3551,tt0118662,2,209244,399488,0,1998,Ayn Rand A Sense of Life,4,R4,16,test,0
5942,3467,3545,tt0120211,3,212267,405973,0,1998,Still Breathing,4,R4,15,test,0
5941,3457,3535,tt0119305,5,215553,412261,0,1998,Homegrown,4,R4,14,test,0
5940,4769,4934,tt1580346,1,225519,243104,0,1998,Regeneration,4,R4,13,train,0
5939,3388,3464,tt0150230,3,238434,454940,0,1998,Cruise The,4,R4,12,train,0
5938,3358,3433,tt0119987,5,247745,473831,0,1998,Real Blonde The,4,R4,11,train,0
5937,3286,3356,tt0120257,4,283081,541411,0,1998,Swept From The Sea,4,R4,10,train,0
5936,3277,3347,tt0119717,2,287752,550345,0,1998,Mr Jealousy,4,R4,9,train,0
5935,3230,3299,tt0120510,4,305704,584683,0,1998,Wide Awake,4,R4,8,train,0
5934,6016,6312,tt0118539,5,308082,589230,0,1998,3 Ninjas High Noon at Mega Mountain,4,R4,7,train,0
5933,3220,3288,tt0119815,2,310724,594280,0,1998,Four Days in September,4,R4,6,train,0
5932,3179,3247,tt0119802,3,332388,635713,0,1998,Monument Ave,4,R4,5,train,0
5931,3159,3227,tt0119577,4,343023,652819,0,1998,Love is the Devil,4,R4,4,train,0
5930,3125,3193,tt0190798,8,367939,612319,0,1998,Solas,4,R4,3,train,0
5929,3116,3184,tt0119453,2,373830,714972,0,1998,Merry War A,4,R4,2,train,0
5928,3107,3175,tt0123385,2,377512,722013,0,1998,Artemisia,4,R4,1,train,0
5927,3105,3173,tt0126651,2,378562,629999,0,1998,Santitos,4,R4,0,train,0
4950,3079,3146,tt0039383,4,401540,767976,0,1998,Fireworks,5,R5,17,test,0
4949,3075,3140,tt0126344,1,405297,775160,0,1998,I Went Down,5,R5,16,test,0
4948,3056,3120,tt0120408,9,418192,794643,0,1998,Eel The,5,R5,15,test,0
4947,3030,3093,tt0138563,4,441808,844992,0,1998,Kurt and Courtney,5,R5,14,test,0
4946,2972,3033,tt0141986,1,483917,925525,0,1998,Wild Man Blues,5,R5,13,train,0
